MIRA SN,PROBE IP,SUBNET MASK,GATEWAY,,,Central  0 IP,Central  0 SNTP,Global NTP List,New Updater IP
30622,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30623,10.219.90.80,255.255.254.0,10.219.90.1,,,,,,
30624,10.227.28.80,255.255.254.0,10.227.28.1,,,,,,
30625,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30626,10.51.42.80,255.255.254.0,10.51.42.1,,,,,,
30627,10.43.24.80,255.255.254.0,10.43.24.1,,,,,,
30628,10.27.14.80,255.255.254.0,10.27.14.1,,,,,,
30629,10.227.32.80,255.255.254.0,10.227.32.1,,,,,,
30630,10.219.108.80,255.255.254.0,10.219.108.1,,,,,,
30631,10.59.52.80,255.255.254.0,10.59.52.1,,,,,,
30632,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30633,10.67.8.80,255.255.254.0,10.67.8.1,,,,,,
30634,10.219.70.80,255.255.254.0,10.219.70.1,,,,,,
30637,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30638,10.139.82.80,255.255.254.0,10.139.82.1,,,,,,
30639,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30640,10.43.26.80,255.255.254.0,10.43.26.1,,,,,,
30643,10.59.10.80,255.255.254.0,10.59.10.1,,,,,,
30644,10.139.60.80,255.255.254.0,10.139.60.1,,,,,,
30645,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30646,10.139.68.80,255.255.254.0,10.139.68.1,,,,,,
30647,10.43.8.80,255.255.254.0,10.43.8.1,,,,,,
30648,10.27.84.80,255.255.254.0,10.27.84.1,,,,,,
30649,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30650,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30651,10.227.20.80,255.255.254.0,10.227.20.1,,,,,,
30652,10.19.48.80,255.255.254.0,10.19.48.1,,,,,,
30653,10.27.92.80,255.255.254.0,10.27.92.1,,,,,,
30655,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30656,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30657,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30658,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30659,10.227.26.80,255.255.254.0,10.227.26.1,,,,,,
30660,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30661,10.43.18.80,255.255.254.0,10.43.18.1,,,,,,
30662,10.227.34.80,255.255.254.0,10.227.34.1,,,,,,
30663,10.235.62.80,255.255.254.0,10.235.62.1,,,,,,
30664,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30665,10.27.8.80,255.255.254.0,10.27.8.1,,,,,,
